,Tree cover,Grassland,Cropland,Built-up,Permanent water
Tree cover,1531,120,23,102,24
Grassland,139,1446,103,102,10
Cropland,25,141,1608,26,0
Built-up,67,51,30,1646,6
Permanent water,24,3,0,12,1761
