,Tree cover,Grassland,Cropland,Built-up,Permanent water
Tree cover,5006,451,81,369,93
Grassland,388,4951,298,338,25
Cropland,103,591,5217,88,1
Built-up,210,192,60,5514,24
Permanent water,94,3,0,37,5866
