feature,importance_mean,importance_sd
summer_swir22,0.09934259483278804,0.0034128619447629568
autumn_swir16,0.0842589401982563,0.0027453973032600487
spring_swir16,0.082607779706329,0.002669134202592489
spring_ndwi,0.052069824197390945,0.0019089985278357147
spring_swir22,0.03608686452525682,0.0026433134586587954
autumn_swir22,0.023225319128770884,0.0024723618015546323
summer_swir16,0.022874521070911747,0.0023424560242845836
autumn_ndvi,0.019274597454628985,0.0020863198234349224
spring_nir,0.01738672987922074,0.0027152475867806072
spring_ndvi,0.013658925956054047,0.0015719442674345246
autumn_ndwi,0.012338365631348958,0.0009696170736439976
autumn_blue,0.009163706167981078,0.0010242522053992727
summer_nir,0.00915688999656834,0.0012877294431314391
summer_blue,0.009003533341009607,0.001383655079549245
autumn_ndbi,0.008904032709088749,0.0014774790119224655
summer_ndwi,0.006956166275071629,0.0010364875875157778
summer_red,0.0056090548726124515,0.00134452465743844
spring_ndbi,0.005325916632103888,0.0019773473065846977
autumn_green,0.00487275365393538,0.0025699524157981124
autumn_red,0.004621473873080428,0.002226984233228871
spring_red,0.004561836394993457,0.0022897622063612153
spring_blue,0.004354107713092548,0.001003552737371142
autumn_nir,0.003320853926503986,0.0012575300741386544
summer_ndbi,0.002999392950790969,0.001278494083957777
spring_green,0.0024355833059314324,0.0011509162946116956
summer_ndvi,0.001946554266099443,0.0017370034613674195
summer_green,0.0006840053793090827,0.0015206349497254947
