class_code,class_name,samples,accuracy,median_confidence,p10_confidence,low_confidence_below_0_60_pct
10,Tree cover,6000,0.8343333333333334,0.9906693696975708,0.5951535701751709,10.35
30,Grassland,6000,0.8251666666666667,0.923433780670166,0.552593469619751,13.566666666666666
40,Cropland,6000,0.8695,0.987047553062439,0.6402110457420349,8.266666666666666
50,Built-up,6000,0.919,0.9632526636123657,0.6197106242179871,9.049999999999999
80,Permanent water,6000,0.9776666666666667,0.9998043775558472,0.9812405705451965,1.25
