model,feature_set,class_name,precision,recall,f1,support
HistGradientBoosting,bands_only,Tree cover,0.8464961067853171,0.8455555555555555,0.8460255697609783,1800
HistGradientBoosting,bands_only,Grassland,0.82296918767507,0.8161111111111111,0.8195258019525802,1800
HistGradientBoosting,bands_only,Cropland,0.9155807365439094,0.8977777777777778,0.9065918653576438,1800
HistGradientBoosting,bands_only,Built-up,0.8760775862068966,0.9033333333333333,0.8894967177242888,1800
HistGradientBoosting,bands_only,Permanent water,0.9766146993318485,0.9744444444444444,0.9755283648498332,1800
