feature,importance_mean,importance_sd
spring_nir,0.07846057896943555,0.0031141649639921973
autumn_nir,0.029521054906583365,0.0017160445514623679
summer_nir,0.028691704498750404,0.0027093878432183794
summer_swir22,0.022484507284341194,0.0015513550721915537
spring_swir16,0.01987477359067813,0.0029949210860806667
autumn_swir16,0.018317929181055837,0.0021964184703709318
spring_swir22,0.012548162816256125,0.0002873952576367182
summer_swir16,0.008883214910775216,0.001229463668085385
autumn_swir22,0.005007856696653557,0.0016796585368564962
spring_blue,0.00220651187609171,0.0006234882729890381
summer_blue,0.0019400471025456723,0.0006739496478417456
spring_green,0.0007517973528036847,0.0010087468568892824
summer_red,0.0006000212946529304,0.0008241717122942828
spring_red,0.0005798375067571415,0.0013107249055750198
summer_green,0.00046372110075638685,0.0016222115679686365
autumn_blue,-0.00026409931118500654,0.00041124911279920165
autumn_red,-0.00044201158733545574,0.0013734086648457954
autumn_green,-0.0008208304695223268,0.002032664320912546
