,Tree cover,Grassland,Cropland,Built-up,Permanent water
Tree cover,1534,121,25,93,27
Grassland,138,1445,104,103,10
Cropland,23,143,1605,29,0
Built-up,69,56,27,1642,6
Permanent water,26,2,0,10,1762
