fold,feature,importance_mean,importance_sd
1,spring_blue,0.007041003683264352,0.0021929933158915424
1,spring_green,-0.0003306896515395674,0.0008678262686274927
1,spring_red,0.001139770763168596,0.00254746327205243
1,spring_nir,0.011426121521981414,0.003657265796451373
1,spring_swir16,0.0813218439121004,0.0035338430656460963
1,spring_swir22,0.023036939906365683,0.003776796972259043
1,spring_ndvi,0.016370753111590336,0.002619502515879312
1,spring_ndbi,0.0025127877098544693,0.002624190816186585
1,spring_ndwi,0.04581099006237685,0.0035666556151418365
1,summer_blue,0.004224393102805757,0.0012042421332558837
1,summer_green,-0.00026721072353755315,0.0007532399564969663
1,summer_red,0.005065663512020119,0.0008947166544870244
1,summer_nir,0.00968685603272465,0.0027357857873539153
1,summer_swir16,0.014769402328604797,0.0030186643525100536
1,summer_swir22,0.09965224767500208,0.0041146370691101716
1,summer_ndvi,0.005261266765208217,0.0014134076885931662
1,summer_ndbi,0.000852266710699795,0.0018676302294047202
1,summer_ndwi,0.003239726476927246,0.001319296665591867
1,autumn_blue,0.0033115223544915307,0.0019686135610002507
1,autumn_green,0.0011504506207513643,0.0036018790542115607
1,autumn_red,0.002066051162288113,0.0020224160198140063
1,autumn_nir,0.0040608950157901,0.0013433483918997523
1,autumn_swir16,0.05437648311769111,0.002730235458662771
1,autumn_swir22,0.028531636351475403,0.003938806196254834
1,autumn_ndvi,0.043737093477167754,0.0009962048529276724
1,autumn_ndbi,0.005964423503230565,0.001628621623530258
1,autumn_ndwi,0.006254796326700729,0.0021176719075020316
2,spring_blue,0.006123458691683958,0.0019084895439220022
2,spring_green,0.0019805694038262933,0.0018081814823076487
2,spring_red,0.004104088325521366,0.001580075517909338
2,spring_nir,0.013689419420128135,0.002760194319682796
2,spring_swir16,0.07397809634733074,0.005978084817534658
2,spring_swir22,0.03883789305094987,0.0016235974061949159
2,spring_ndvi,0.010101052389175968,0.0021465717867393446
2,spring_ndbi,0.0030549349520818114,0.0014697731085205842
2,spring_ndwi,0.042219092656058194,0.004752457258067376
2,summer_blue,0.0019779882319015674,0.0027656918935469186
2,summer_green,0.0011890680773620488,0.0024499124573205025
2,summer_red,-0.0002358479676790315,0.0007348030643284991
2,summer_nir,0.005203992351690084,0.0005735440573056672
2,summer_swir16,0.02075103814649118,0.0015745767884480808
2,summer_swir22,0.0772855294648723,0.006360131852433162
2,summer_ndvi,0.0022277115233223788,0.002529171983851864
2,summer_ndbi,0.0040455976126500814,0.0008368877183133619
2,summer_ndwi,0.007500229452243462,0.0022117559697315717
2,autumn_blue,0.00014447605963816001,0.0014214065166862008
2,autumn_green,0.005989631976719506,0.0013984544674150892
2,autumn_red,0.001449328317369547,0.0023149945950647487
2,autumn_nir,0.0014647783030210526,0.00048008009252738655
2,autumn_swir16,0.06982590077893347,0.006108202132544911
2,autumn_swir22,0.02940030565977142,0.004754876683640443
2,autumn_ndvi,0.017822303942282347,0.00374057662728375
2,autumn_ndbi,0.008315575036809353,0.0027574014989591683
2,autumn_ndwi,0.011268665355404633,0.0027987338431552508
3,spring_blue,0.00459605691752471,0.0015284644214073947
3,spring_green,-0.0002405136701931765,0.0025247132145726024
3,spring_red,0.0004474532051618185,0.0014701887560123973
3,spring_nir,0.01880725198425398,0.003853976185924315
3,spring_swir16,0.0752741518179949,0.005230560056872028
3,spring_swir22,0.029222971675078424,0.0027036017343964216
3,spring_ndvi,0.01967044034043658,0.0010458615350187048
3,spring_ndbi,0.0023962822031664277,0.0012937857854618121
3,spring_ndwi,0.037148032265046455,0.002643346577309744
3,summer_blue,0.006658719758830534,0.0014571957233142664
3,summer_green,0.0038077495974370157,0.0015692973276156795
3,summer_red,0.0026187897936920945,0.002125185860250994
3,summer_nir,0.010961467181631213,0.0015108542780135727
3,summer_swir16,0.017291465486423158,0.0030925416167317055
3,summer_swir22,0.07429137970223221,0.0025400311324805425
3,summer_ndvi,0.005076658870385442,0.0020019125766744432
3,summer_ndbi,0.0017534291813580405,0.0007032370006445617
3,summer_ndwi,0.005808687689149744,0.0013462776203053473
3,autumn_blue,0.002487470185788432,0.0020354335334327577
3,autumn_green,0.00851415058493099,0.0019227756192147461
3,autumn_red,0.0017268836753131234,0.0026074413251099796
3,autumn_nir,0.003708307319094467,0.002165029015641001
3,autumn_swir16,0.048106357352212664,0.0034403748416448094
3,autumn_swir22,0.016961520558325338,0.0018182665085913754
3,autumn_ndvi,0.03463726258312358,0.0017265651215243043
3,autumn_ndbi,0.008670329985775577,0.0012223165082162401
3,autumn_ndwi,0.027460711224627038,0.0015010374408112649
4,spring_blue,0.004094213376053091,0.0010127270601793471
4,spring_green,0.002541293405140005,0.0012593614026612046
4,spring_red,0.003889610766073359,0.0019106209516883813
4,spring_nir,0.019220039053033627,0.0032426390165541646
4,spring_swir16,0.08339099901923833,0.0036358273993010344
4,spring_swir22,0.022223771221462213,0.004102829395887978
4,spring_ndvi,0.007422583745036987,0.0019878913409381747
4,spring_ndbi,0.0012481206633261355,0.0007855376034674234
4,spring_ndwi,0.03654293520880003,0.002374422208929266
4,summer_blue,0.0061299489962721165,0.001930472880572631
4,summer_green,-0.0018576410657190068,0.00156536548981249
4,summer_red,0.0028529142307294475,0.0017043248722030191
4,summer_nir,0.002896390487965167,0.001996900065692898
4,summer_swir16,0.02153393943441881,0.002047291679922188
4,summer_swir22,0.08329364823926075,0.0022803306939503786
4,summer_ndvi,0.0036095001041195063,0.0005136880940568397
4,summer_ndbi,0.0016110900896538494,0.002381369337807821
4,summer_ndwi,0.0024476249856015264,0.0010577772662681768
4,autumn_blue,0.007862026988298215,0.002096671274842017
4,autumn_green,0.00471887659886569,0.0012020881622896707
4,autumn_red,0.003952402462367943,0.002881062689749937
4,autumn_nir,0.005823739187533761,0.0012903160114237273
4,autumn_swir16,0.04369059005188888,0.0028674577618085697
4,autumn_swir22,0.025304046621608428,0.0008402559864766794
4,autumn_ndvi,0.03308034442146099,0.004168304652954931
4,autumn_ndbi,0.006627637750916793,0.0017034557878100724
4,autumn_ndwi,0.007542495177479097,0.00173369125747663
5,spring_blue,0.004023068786032147,0.001079012098011591
5,spring_green,-3.8608732197104034e-05,0.0021673247558441325
5,spring_red,0.0028665597693121603,0.0008951422131323641
5,spring_nir,0.007785135702466223,0.001966906893142384
5,spring_swir16,0.06179658970499374,0.004645794878088903
5,spring_swir22,0.035282743436541975,0.0045283879004911825
5,spring_ndvi,0.005650459533329932,0.0031410863504491137
5,spring_ndbi,0.00011680501008456967,0.0015536458615329235
5,spring_ndwi,0.06865967783007629,0.0037948771578088093
