model,feature_set,class_name,precision,recall,f1,support
Random Forest,bands_plus_indices,Tree cover,0.8569832402234637,0.8522222222222222,0.8545961002785515,1800
Random Forest,bands_plus_indices,Grassland,0.8177702320316921,0.8027777777777778,0.8102046537706756,1800
Random Forest,bands_plus_indices,Cropland,0.9114139693356048,0.8916666666666667,0.9014321819713563,1800
Random Forest,bands_plus_indices,Built-up,0.8748002131060203,0.9122222222222223,0.8931193908077237,1800
Random Forest,bands_plus_indices,Permanent water,0.9761772853185595,0.9788888888888889,0.9775312066574202,1800
