,Tree cover,Grassland,Cropland,Built-up,Permanent water
Tree cover,0.8343333333333334,0.07516666666666667,0.0135,0.0615,0.0155
Grassland,0.06466666666666666,0.8251666666666667,0.049666666666666665,0.05633333333333333,0.004166666666666667
Cropland,0.017166666666666667,0.0985,0.8695,0.014666666666666666,0.00016666666666666666
Built-up,0.035,0.032,0.01,0.919,0.004
Permanent water,0.015666666666666666,0.0005,0.0,0.006166666666666667,0.9776666666666667
