model,feature_set,class_name,precision,recall,f1,support
Random Forest,bands_only,Tree cover,0.8572228443449048,0.8505555555555555,0.8538761851645287,1800
Random Forest,bands_only,Grassland,0.8211243611584327,0.8033333333333333,0.8121314237573716,1800
Random Forest,bands_only,Cropland,0.9115646258503401,0.8933333333333333,0.9023569023569024,1800
Random Forest,bands_only,Built-up,0.871822033898305,0.9144444444444444,0.8926247288503254,1800
Random Forest,bands_only,Permanent water,0.9777901166018879,0.9783333333333334,0.978061649541794,1800
