,Tree cover,Grassland,Cropland,Built-up,Permanent water
Tree cover,1525,123,19,102,31
Grassland,133,1469,102,89,7
Cropland,20,133,1627,20,0
Built-up,76,62,23,1632,7
Permanent water,30,1,0,7,1762
