worldcover_code,pixel_count,share_pct
10,584159,39.803313405295945
30,197274,13.441817807679676
40,258933,17.643126871234536
50,402323,27.41340706752593
60,3418,0.23289502553123642
80,21457,1.4620329323650496
90,50,0.003406890367630726
